Place,Team,GP,W,D,L,GF,GA,GD,P,Year
1,ARS,38,26,9,3,79,36,43,87,2001
2,LIV,38,24,8,6,67,30,37,80,2001
3,MAN,38,24,5,9,87,45,42,77,2001
4,NEW,38,21,8,9,74,52,22,71,2001
5,LEE,38,18,12,8,53,37,16,66,2001
6,CHE,38,17,13,8,66,38,28,64,2001
7,WHU,38,15,8,15,48,57,-9,53,2001
8,AVL,38,12,14,12,46,47,-1,50,2001
9,TOT,38,14,8,16,49,53,-4,50,2001
10,BLK,38,12,10,16,55,51,4,46,2001
11,SOU,38,12,9,17,46,54,-8,45,2001
12,MID,38,12,9,17,35,47,-12,45,2001
13,FUL,38,10,14,14,36,44,-8,44,2001
14,CHA,38,10,14,14,38,49,-11,44,2001
15,EVE,38,11,10,17,45,57,-12,43,2001
16,BOL,38,9,13,16,44,62,-18,40,2001
17,SUN,38,10,10,18,29,51,-22,40,2001
18,IPS,38,9,9,20,41,64,-23,36,2001
19,DER,38,8,6,24,33,63,-30,30,2001
20,LEI,38,5,13,20,30,64,-34,28,2001
1,MAN,38,25,8,5,74,34,40,83,2002
2,ARS,38,23,9,6,85,42,43,78,2002
3,NEW,38,21,6,11,63,48,15,69,2002
4,CHE,38,19,10,9,68,38,30,67,2002
5,LIV,38,18,10,10,61,41,20,64,2002
6,BLK,38,16,12,10,52,43,9,60,2002
7,EVE,38,17,8,13,48,49,-1,59,2002
8,SOU,38,13,13,12,43,46,-3,52,2002
9,MNC,38,15,6,17,47,54,-7,51,2002
10,TOT,38,14,8,16,51,62,-11,50,2002
11,MID,38,13,10,15,48,44,4,49,2002
12,CHA,38,14,7,17,45,56,-11,49,2002
13,BIR,38,13,9,16,41,49,-8,48,2002
14,FUL,38,13,9,16,41,50,-9,48,2002
15,LEE,38,14,5,19,58,57,1,47,2002
16,AVL,38,12,9,17,42,47,-5,45,2002
17,BOL,38,10,14,14,41,51,-10,44,2002
18,WHU,38,10,12,16,42,59,-17,42,2002
19,WBA,38,6,8,24,29,65,-36,26,2002
20,SUN,38,4,7,27,21,65,-44,19,2002
1,ARS,38,26,12,0,73,26,47,90,2003
2,CHE,38,24,7,7,67,30,37,79,2003
3,MAN,38,23,6,9,64,35,29,75,2003
4,LIV,38,16,12,10,55,37,18,60,2003
5,NEW,38,13,17,8,52,40,12,56,2003
6,AVL,38,15,11,12,48,44,4,56,2003
7,CHA,38,14,11,13,51,51,0,53,2003
8,BOL,38,14,11,13,48,56,-8,53,2003
9,FUL,38,14,10,14,52,46,6,52,2003
10,BIR,38,12,14,12,43,48,-5,50,2003
11,MID,38,13,9,16,44,52,-8,48,2003
12,SOU,38,12,11,15,44,45,-1,47,2003
13,POR,38,12,9,17,47,54,-7,45,2003
14,TOT,38,13,6,19,47,57,-10,45,2003
15,BLK,38,12,8,18,51,59,-8,44,2003
16,MNC,38,9,14,15,55,54,1,41,2003
17,EVE,38,9,12,17,45,57,-12,39,2003
18,LEI,38,6,15,17,48,65,-17,33,2003
19,LEE,38,8,9,21,40,79,-39,33,2003
20,WOL,38,7,12,19,38,77,-39,33,2003
1,CHE,38,29,8,1,72,15,57,95,2004
2,ARS,38,25,8,5,87,36,51,83,2004
3,MAN,38,22,11,5,58,26,32,77,2004
4,EVE,38,18,7,13,45,46,-1,61,2004
5,LIV,38,17,7,14,52,41,11,58,2004
6,BOL,38,16,10,12,49,44,5,58,2004
7,MID,38,14,13,11,53,46,7,55,2004
8,MNC,38,13,13,12,47,39,8,52,2004
9,TOT,38,14,10,14,47,41,6,52,2004
10,AVL,38,12,11,15,45,52,-7,47,2004
11,CHA,38,12,10,16,42,58,-16,46,2004
12,BIR,38,11,12,15,40,46,-6,45,2004
13,FUL,38,12,8,18,52,60,-8,44,2004
14,NEW,38,10,14,14,47,57,-10,44,2004
15,BLK,38,9,15,14,32,43,-11,42,2004
16,POR,38,10,9,19,43,59,-16,39,2004
17,WBA,38,6,16,16,36,61,-25,34,2004
18,CRY,38,7,12,19,41,62,-21,33,2004
19,NOR,38,7,12,19,42,77,-35,33,2004
20,SOU,38,6,14,18,45,66,-21,32,2004
1,CHE,38,29,4,5,72,22,50,91,2005
2,MAN,38,25,8,5,72,34,38,83,2005
3,LIV,38,25,7,6,57,25,32,82,2005
4,ARS,38,20,7,11,68,31,37,67,2005
5,TOT,38,18,11,9,53,38,15,65,2005
6,BLK,38,19,6,13,51,42,9,63,2005
7,NEW,38,17,7,14,47,42,5,58,2005
8,BOL,38,15,11,12,49,41,8,56,2005
9,WHU,38,16,7,15,52,55,-3,55,2005
10,WGA,38,15,6,17,45,52,-7,51,2005
11,EVE,38,14,8,16,34,49,-15,50,2005
12,FUL,38,14,6,18,48,58,-10,48,2005
13,CHA,38,13,8,17,41,55,-14,47,2005
14,MID,38,12,9,17,48,58,-10,45,2005
15,MNC,38,13,4,21,43,48,-5,43,2005
16,AVL,38,10,12,16,42,55,-13,42,2005
17,POR,38,10,8,20,37,62,-25,38,2005
18,BIR,38,8,10,20,28,50,-22,34,2005
19,WBA,38,7,9,22,31,58,-27,30,2005
20,SUN,38,3,6,29,26,69,-43,15,2005
1,MAN,38,28,5,5,83,27,56,89,2006
2,CHE,38,24,11,3,64,24,40,83,2006
3,LIV,38,20,8,10,57,27,30,68,2006
4,ARS,38,19,11,8,63,35,28,68,2006
5,TOT,38,17,9,12,57,54,3,60,2006
6,EVE,38,15,13,10,52,36,16,58,2006
7,BOL,38,16,8,14,47,52,-5,56,2006
8,REA,38,16,7,15,52,47,5,55,2006
9,POR,38,14,12,12,45,42,3,54,2006
10,BLK,38,15,7,16,52,54,-2,52,2006
11,AVL,38,11,17,10,43,41,2,50,2006
12,MID,38,12,10,16,44,49,-5,46,2006
13,NEW,38,11,10,17,38,47,-9,43,2006
14,MNC,38,11,9,18,29,44,-15,42,2006
15,WHU,38,12,5,21,35,59,-24,41,2006
16,FUL,38,8,15,15,38,60,-22,39,2006
17,WGA,38,10,8,20,37,59,-22,38,2006
18,SHU,38,10,8,20,32,55,-23,38,2006
19,CHA,38,8,10,20,34,60,-26,34,2006
20,WAT,38,5,13,20,29,59,-30,28,2006
1,MAN,38,27,6,5,80,22,58,87,2007
2,CHE,38,25,10,3,65,26,39,85,2007
3,ARS,38,24,11,3,74,31,43,83,2007
4,LIV,38,21,13,4,67,28,39,76,2007
5,EVE,38,19,8,11,55,33,22,65,2007
6,AVL,38,16,12,10,71,51,20,60,2007
7,BLK,38,15,13,10,50,48,2,58,2007
8,POR,38,16,9,13,48,40,8,57,2007
9,MNC,38,15,10,13,45,53,-8,55,2007
10,WHU,38,13,10,15,42,50,-8,49,2007
11,TOT,38,11,13,14,66,61,5,46,2007
12,NEW,38,11,10,17,45,65,-20,43,2007
13,MID,38,10,12,16,43,53,-10,42,2007
14,WGA,38,10,10,18,34,51,-17,40,2007
15,SUN,38,11,6,21,36,59,-23,39,2007
16,BOL,38,9,10,19,36,54,-18,37,2007
17,FUL,38,8,12,18,38,60,-22,36,2007
18,REA,38,10,6,22,41,66,-25,36,2007
19,BIR,38,8,11,19,46,62,-16,35,2007
20,DER,38,1,8,29,20,89,-69,11,2007
1,MAN,38,28,6,4,68,24,44,90,2008
2,LIV,38,25,11,2,77,27,50,86,2008
3,CHE,38,25,8,5,68,24,44,83,2008
4,ARS,38,20,12,6,68,37,31,72,2008
5,EVE,38,17,12,9,55,37,18,63,2008
6,AVL,38,17,11,10,54,48,6,62,2008
7,FUL,38,14,11,13,39,34,5,53,2008
8,TOT,38,14,9,15,45,45,0,51,2008
9,WHU,38,14,9,15,42,45,-3,51,2008
10,MNC,38,15,5,18,58,50,8,50,2008
11,WGA,38,12,9,17,34,45,-11,45,2008
12,STK,38,12,9,17,38,55,-17,45,2008
13,BOL,38,11,8,19,41,53,-12,41,2008
14,POR,38,10,11,17,38,57,-19,41,2008
15,BLK,38,10,11,17,40,60,-20,41,2008
16,SUN,38,9,9,20,34,54,-20,36,2008
17,HUL,38,8,11,19,39,64,-25,35,2008
18,NEW,38,7,13,18,40,59,-19,34,2008
19,MID,38,7,11,20,28,57,-29,32,2008
20,WBA,38,8,8,22,36,67,-31,32,2008
1,CHE,38,27,5,6,103,32,71,86,2009
2,MAN,38,27,4,7,86,28,58,85,2009
3,ARS,38,23,6,9,83,41,42,75,2009
4,TOT,38,21,7,10,67,41,26,70,2009
5,MNC,38,18,13,7,73,45,28,67,2009
6,AVL,38,17,13,8,52,39,13,64,2009
7,LIV,38,18,9,11,61,35,26,63,2009
8,EVE,38,16,13,9,60,49,11,61,2009
9,BIR,38,13,11,14,38,47,-9,50,2009
10,BLK,38,13,11,14,41,55,-14,50,2009
11,STK,38,11,14,13,34,48,-14,47,2009
12,FUL,38,12,10,16,39,46,-7,46,2009
13,SUN,38,11,11,16,48,56,-8,44,2009
14,BOL,38,10,9,19,42,67,-25,39,2009
15,WOL,38,9,11,18,32,56,-24,38,2009
16,WGA,38,9,9,20,37,79,-42,36,2009
17,WHU,38,8,11,19,47,66,-19,35,2009
18,BUR,38,8,6,24,42,82,-40,30,2009
19,HUL,38,6,12,20,34,75,-41,30,2009
20,POR,38,7,7,24,34,66,-32,19,2009
1,MAN,38,23,11,4,78,37,41,80,2010
2,CHE,38,21,8,9,69,33,36,71,2010
3,MNC,38,21,8,9,60,33,27,71,2010
4,ARS,38,19,11,8,72,43,29,68,2010
5,TOT,38,16,14,8,55,46,9,62,2010
6,LIV,38,17,7,14,59,44,15,58,2010
7,EVE,38,13,15,10,51,45,6,54,2010
8,FUL,38,11,16,11,49,43,6,49,2010
9,AVL,38,12,12,14,48,59,-11,48,2010
10,SUN,38,12,11,15,45,56,-11,47,2010
11,WBA,38,12,11,15,56,71,-15,47,2010
12,NEW,38,11,13,14,56,57,-1,46,2010
13,STK,38,13,7,18,46,48,-2,46,2010
14,BOL,38,12,10,16,52,56,-4,46,2010
15,BLK,38,11,10,17,46,59,-13,43,2010
16,WGA,38,9,15,14,40,61,-21,42,2010
17,WOL,38,11,7,20,46,66,-20,40,2010
18,BIR,38,8,15,15,37,58,-21,39,2010
19,BLP,38,10,9,19,55,78,-23,39,2010
20,WHU,38,7,12,19,43,70,-27,33,2010
1,MNC,38,28,5,5,93,29,64,89,2011
2,MAN,38,28,5,5,89,33,56,89,2011
3,ARS,38,21,7,10,74,49,25,70,2011
4,TOT,38,20,9,9,66,41,25,69,2011
5,NEW,38,19,8,11,56,51,5,65,2011
6,CHE,38,18,10,10,65,46,19,64,2011
7,EVE,38,15,11,12,50,40,10,56,2011
8,LIV,38,14,10,14,47,40,7,52,2011
9,FUL,38,14,10,14,48,51,-3,52,2011
10,WBA,38,13,8,17,45,52,-7,47,2011
11,SWA,38,12,11,15,44,51,-7,47,2011
12,NOR,38,12,11,15,52,66,-14,47,2011
13,SUN,38,11,12,15,45,46,-1,45,2011
14,STK,38,11,12,15,36,53,-17,45,2011
15,WGA,38,11,10,17,42,62,-20,43,2011
16,AVL,38,7,17,14,37,53,-16,38,2011
17,QPR,38,10,7,21,43,66,-23,37,2011
18,BOL,38,10,6,22,46,77,-31,36,2011
19,BLK,38,8,7,23,48,78,-30,31,2011
20,WOL,38,5,10,23,40,82,-42,25,2011
1,MAN,38,28,5,5,86,43,43,89,2012
2,MNC,38,23,9,6,66,34,32,78,2012
3,CHE,38,22,9,7,75,39,36,75,2012
4,ARS,38,21,10,7,72,37,35,73,2012
5,TOT,38,21,9,8,66,46,20,72,2012
6,EVE,38,16,15,7,55,40,15,63,2012
7,LIV,38,16,13,9,71,43,28,61,2012
8,WBA,38,14,7,17,53,57,-4,49,2012
9,SWA,38,11,13,14,47,51,-4,46,2012
10,WHU,38,12,10,16,45,53,-8,46,2012
11,NOR,38,10,14,14,41,58,-17,44,2012
12,FUL,38,11,10,17,50,60,-10,43,2012
13,STK,38,9,15,14,34,45,-11,42,2012
14,SOU,38,9,14,15,49,60,-11,41,2012
15,AVL,38,10,11,17,47,69,-22,41,2012
16,NEW,38,11,8,19,45,68,-23,41,2012
17,SUN,38,9,12,17,41,54,-13,39,2012
18,WGA,38,9,9,20,47,73,-26,36,2012
19,REA,38,6,10,22,43,73,-30,28,2012
20,QPR,38,4,13,21,30,60,-30,25,2012
1,MNC,38,27,5,6,102,37,65,86,2013
2,LIV,38,26,6,6,101,50,51,84,2013
3,CHE,38,25,7,6,71,27,44,82,2013
4,ARS,38,24,7,7,68,41,27,79,2013
5,EVE,38,21,9,8,61,39,22,72,2013
6,TOT,38,21,6,11,55,51,4,69,2013
7,MAN,38,19,7,12,64,43,21,64,2013
8,SOU,38,15,11,12,54,46,8,56,2013
9,STK,38,13,11,14,45,52,-7,50,2013
10,NEW,38,15,4,19,43,59,-16,49,2013
11,CRY,38,13,6,19,33,48,-15,45,2013
12,SWA,38,11,9,18,54,54,0,42,2013
13,WHU,38,11,7,20,40,51,-11,40,2013
14,SUN,38,10,8,20,41,60,-19,38,2013
15,AVL,38,10,8,20,39,61,-22,38,2013
16,HUL,38,10,7,21,38,53,-15,37,2013
17,WBA,38,7,15,16,43,59,-16,36,2013
18,NOR,38,8,9,21,28,62,-34,33,2013
19,FUL,38,9,5,24,40,85,-45,32,2013
20,CAR,38,7,9,22,32,74,-42,30,2013
1,CHE,38,26,9,3,73,32,41,87,2014
2,MNC,38,24,7,7,83,38,45,79,2014
3,ARS,38,22,9,7,71,36,35,75,2014
4,MAN,38,20,10,8,62,37,25,70,2014
5,TOT,38,19,7,12,58,53,5,64,2014
6,LIV,38,18,8,12,52,48,4,62,2014
7,SOU,38,18,6,14,54,33,21,60,2014
8,SWA,38,16,8,14,46,49,-3,56,2014
9,STK,38,15,9,14,48,45,3,54,2014
10,CRY,38,13,9,16,47,51,-4,48,2014
11,EVE,38,12,11,15,48,50,-2,47,2014
12,WHU,38,12,11,15,44,47,-3,47,2014
13,WBA,38,11,11,16,38,51,-13,44,2014
14,LEI,38,11,8,19,46,55,-9,41,2014
15,NEW,38,10,9,19,40,63,-23,39,2014
16,SUN,38,7,17,14,31,53,-22,38,2014
17,AVL,38,10,8,20,31,57,-26,38,2014
18,HUL,38,8,11,19,33,51,-18,35,2014
19,BUR,38,7,12,19,28,53,-25,33,2014
20,QPR,38,8,6,24,42,73,-31,30,2014
1,LEI,38,23,12,3,68,36,32,81,2015
2,ARS,38,20,11,7,65,36,29,71,2015
3,TOT,38,19,13,6,69,35,34,70,2015
4,MNC,38,19,9,10,71,41,30,66,2015
5,MAN,38,19,9,10,49,35,14,66,2015
6,SOU,38,18,9,11,59,41,18,63,2015
7,WHU,38,16,14,8,65,51,14,62,2015
8,LIV,38,16,12,10,63,50,13,60,2015
9,STK,38,14,9,15,41,55,-14,51,2015
10,CHE,38,12,14,12,59,53,6,50,2015
11,EVE,38,11,14,13,59,55,4,47,2015
12,SWA,38,12,11,15,42,52,-10,47,2015
13,WAT,38,12,9,17,40,50,-10,45,2015
14,WBA,38,10,13,15,34,48,-14,43,2015
15,CRY,38,11,9,18,39,51,-12,42,2015
16,BOU,38,11,9,18,45,67,-22,42,2015
17,SUN,38,9,12,17,48,62,-14,39,2015
18,NEW,38,9,10,19,44,65,-21,37,2015
19,NOR,38,9,7,22,39,67,-28,34,2015
20,AVL,38,3,8,27,27,76,-49,17,2015
1,CHE,38,30,3,5,85,33,52,93,2016
2,TOT,38,26,8,4,86,26,60,86,2016
3,MNC,38,23,9,6,80,39,41,78,2016
4,LIV,38,22,10,6,78,42,36,76,2016
5,ARS,38,23,6,9,77,44,33,75,2016
6,MAN,38,18,15,5,54,29,25,69,2016
7,EVE,38,17,10,11,62,44,18,61,2016
8,SOU,38,12,10,16,41,48,-7,46,2016
9,BOU,38,12,10,16,55,67,-12,46,2016
10,WBA,38,12,9,17,43,51,-8,45,2016
11,WHU,38,12,9,17,47,64,-17,45,2016
12,LEI,38,12,8,18,48,63,-15,44,2016
13,STK,38,11,11,16,41,56,-15,44,2016
14,CRY,38,12,5,21,50,63,-13,41,2016
15,SWA,38,12,5,21,45,70,-25,41,2016
16,BUR,38,11,7,20,39,55,-16,40,2016
17,WAT,38,11,7,20,40,68,-28,40,2016
18,HUL,38,9,7,22,37,80,-43,34,2016
19,MID,38,5,13,20,27,53,-26,28,2016
20,SUN,38,6,6,26,29,69,-40,24,2016
1,MNC,38,32,4,2,106,27,79,100,2017
2,MAN,38,25,6,7,68,28,40,81,2017
3,TOT,38,23,8,7,74,36,38,77,2017
4,LIV,38,21,12,5,84,38,46,75,2017
5,CHE,38,21,7,10,62,38,24,70,2017
6,ARS,38,19,6,13,74,51,23,63,2017
7,BUR,38,14,12,12,36,39,-3,54,2017
8,EVE,38,13,10,15,44,58,-14,49,2017
9,LEI,38,12,11,15,56,60,-4,47,2017
10,NEW,38,12,8,18,39,47,-8,44,2017
11,CRY,38,11,11,16,45,55,-10,44,2017
12,BOU,38,11,11,16,45,61,-16,44,2017
13,WHU,38,10,12,16,48,68,-20,42,2017
14,WAT,38,11,8,19,44,64,-20,41,2017
15,BHA,38,9,13,16,34,54,-20,40,2017
16,HUD,38,9,10,19,28,58,-30,37,2017
17,SOU,38,7,15,16,37,56,-19,36,2017
18,SWA,38,8,9,21,28,56,-28,33,2017
19,STK,38,7,12,19,35,68,-33,33,2017
20,WBA,38,6,13,19,31,56,-25,31,2017
1,MNC,38,32,2,4,95,23,72,98,2018
2,LIV,38,30,7,1,89,22,67,97,2018
3,CHE,38,21,9,8,63,39,24,72,2018
4,TOT,38,23,2,13,67,39,28,71,2018
5,ARS,38,21,7,10,73,51,22,70,2018
6,MAN,38,19,9,10,65,54,11,66,2018
7,WOL,38,16,9,13,47,46,1,57,2018
8,EVE,38,15,9,14,54,46,8,54,2018
9,LEI,38,15,7,16,51,48,3,52,2018
10,WHU,38,15,7,16,52,55,-3,52,2018
11,WAT,38,14,8,16,52,59,-7,50,2018
12,CRY,38,14,7,17,51,53,-2,49,2018
13,NEW,38,12,9,17,42,48,-6,45,2018
14,BOU,38,13,6,19,56,70,-14,45,2018
15,BUR,38,11,7,20,45,68,-23,40,2018
16,SOU,38,9,12,17,45,65,-20,39,2018
17,BHA,38,9,9,20,35,60,-25,36,2018
18,CAR,38,10,4,24,34,69,-35,34,2018
19,FUL,38,7,5,26,34,81,-47,26,2018
20,HUD,38,3,7,28,22,76,-54,16,2018
1,LIV,38,32,3,3,85,33,52,99,2019
2,MNC,38,26,3,9,102,35,67,81,2019
3,MAN,38,18,12,8,66,36,30,66,2019
4,CHE,38,20,6,12,69,54,15,66,2019
5,LEI,38,18,8,12,67,41,26,62,2019
6,TOT,38,16,11,11,61,47,14,59,2019
7,WOL,38,15,14,9,51,40,11,59,2019
8,ARS,38,14,14,10,56,48,8,56,2019
9,SHU,38,14,12,12,39,39,0,54,2019
10,BUR,38,15,9,14,43,50,-7,54,2019
11,SOU,38,15,7,16,51,60,-9,52,2019
12,EVE,38,13,10,15,44,56,-12,49,2019
13,NEW,38,11,11,16,38,58,-20,44,2019
14,CRY,38,11,10,17,31,50,-19,43,2019
15,BHA,38,9,14,15,39,54,-15,41,2019
16,WHU,38,10,9,19,49,62,-13,39,2019
17,AVL,38,9,8,21,41,67,-26,35,2019
18,BOU,38,9,7,22,40,65,-25,34,2019
19,WAT,38,8,10,20,36,64,-28,34,2019
20,NOR,38,5,6,27,26,75,-49,21,2019
1,MNC,38,27,5,6,83,32,51,86,2020
2,MAN,38,21,11,6,73,44,29,74,2020
3,LIV,38,20,9,9,68,42,26,69,2020
4,CHE,38,19,10,9,58,36,22,67,2020
5,LEI,38,20,6,12,68,50,18,66,2020
6,WHU,38,19,8,11,62,47,15,65,2020
7,TOT,38,18,8,12,68,45,23,62,2020
8,ARS,38,18,7,13,55,39,16,61,2020
9,LEE,38,18,5,15,62,54,8,59,2020
10,EVE,38,17,8,13,47,48,-1,59,2020
11,AVL,38,16,7,15,55,46,9,55,2020
12,NEW,38,12,9,17,46,62,-16,45,2020
13,WOL,38,12,9,17,36,52,-16,45,2020
14,CRY,38,12,8,18,41,66,-25,44,2020
15,SOU,38,12,7,19,47,68,-21,43,2020
16,BHA,38,9,14,15,40,46,-6,41,2020
17,BUR,38,10,9,19,33,55,-22,39,2020
18,FUL,38,5,13,20,27,53,-26,28,2020
19,WBA,38,5,11,22,35,76,-41,26,2020
20,SHU,38,7,2,29,20,63,-43,23,2020
1,MNC,16,12,2,2,33,9,24,38,2021
2,LIV,16,11,4,1,45,12,33,37,2021
3,CHE,16,11,3,2,38,11,27,36,2021
4,WHU,16,8,4,4,28,19,9,28,2021
5,MAN,16,8,3,5,26,24,2,27,2021
6,ARS,16,8,2,6,21,22,-1,26,2021
7,TOT,14,8,1,5,16,17,-1,25,2021
8,LEI,16,6,4,6,27,27,0,22,2021
9,WOL,16,6,3,7,12,14,-2,21,2021
10,BRE,16,5,5,6,21,22,-1,20,2021
11,BHA,15,4,8,3,14,16,-2,20,2021
12,CRY,16,4,7,5,22,22,0,19,2021
13,AVL,16,6,1,9,21,25,-4,19,2021
14,EVE,16,5,3,8,20,28,-8,18,2021
15,LEE,16,3,7,6,17,25,-8,16,2021
16,SOU,16,3,7,6,14,24,-10,16,2021
17,WAT,16,4,1,11,21,31,-10,13,2021
18,BUR,15,1,8,6,14,21,-7,11,2021
19,NEW,16,1,7,8,17,34,-17,10,2021
20,NOR,16,2,4,10,8,32,-24,10,2021
