home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_streak,diff_team_best_perf
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,0.0,1.0,3.0,2.0,0.3333333333333357,6.666666666666666,1.0,2.0,0.0
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,1.0,-1.0,1.0,0.0,-18.666666666666664,-18.0,-6.0,-6.0,-9.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,-2.0,1.0,3.0,1.0,2.0,-4.333333333333332,0.0,1.0,3.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,12.0,11.0,10.0,9.0,26.33333333333333,34.0,10.0,10.0,5.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,-2.0,3.0,4.0,2.0,0.0,0.0,-1.0,0.0,-2.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,-8.0,-4.0,-4.0,-5.0,-27.333333333333336,-51.33333333333333,-3.0,-5.0,-6.0
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,-2.0,0.0,-4.0,-2.0,-20.0,-34.66666666666667,-1.0,-3.0,0.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,1.0,1.0,3.0,2.0,-16.33333333333333,-24.333333333333332,10.0,10.0,0.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,1.0,3.0,3.0,2.0,42.0,51.5,6.0,0.0,10.0
79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,-2.0,-2.0,1.0,1.0,5.0,1.5,8.0,1.0,-3.0
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,5.0,4.0,5.0,4.0,19.33333333333333,18.000000000000004,10.0,10.0,1.0
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,4.0,6.0,4.0,4.0,9.0,14.333333333333332,-3.0,-7.0,-1.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,-3.0,0.0,2.0,1.0,44.333333333333336,51.66666666666667,7.0,5.0,14.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,12.0,8.0,4.0,7.0,21.333333333333336,40.0,14.0,14.0,9.0
78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,2.0,5.0,3.0,3.0,19.5,31.0,-1.0,0.0,6.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,7.0,4.0,2.0,3.0,16.333333333333336,26.333333333333336,17.0,17.0,10.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,-1.0,2.0,5.0,3.0,4.666666666666664,-3.0,10.0,10.0,3.0
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,-1.0,-4.0,-3.0,-3.0,-2.6666666666666643,-5.333333333333334,0.0,-2.0,2.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,-6.0,-7.0,-5.0,-5.0,-16.333333333333336,-28.333333333333336,3.0,-1.0,-2.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,0.0,3.0,1.0,2.0,6.333333333333336,6.666666666666666,6.0,6.0,5.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,-3.0,1.0,-1.0,1.0,44.666666666666664,52.33333333333333,13.0,9.0,15.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,6.0,0.0,-3.0,-1.0,-17.333333333333336,-29.166666666666664,-4.0,-10.0,-7.0
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,8.0,10.0,9.0,9.0,60.0,84.66666666666667,8.0,7.0,18.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,6.0,10.0,8.0,8.0,25.999999999999993,33.33333333333333,13.0,16.0,9.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,0.0,0.0,1.0,-1.0,-42.0,-55.333333333333336,-10.0,-10.0,-15.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,5.0,8.0,9.0,8.0,19.333333333333336,22.0,10.0,10.0,6.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,0.0,-6.0,-4.0,-4.0,-0.3333333333333286,-5.666666666666666,11.0,11.0,2.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,-1.0,1.0,-1.0,-1.0,-4.0,-6.5,3.0,-3.0,0.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,-7.0,-4.0,-7.0,-5.0,-26.333333333333336,-49.333333333333336,-1.0,-2.0,-9.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,-2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,3.0,3.0,4.0,3.0,-4.0,-4.333333333333333,10.0,10.0,2.0
78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,7.0,7.0,2.0,4.0,18.0,32.66666666666667,-2.0,-5.0,5.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,3.0,6.0,2.0,3.0,-0.6666666666666714,-10.0,10.0,10.0,1.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,1.0,3.0,1.0,2.0,-11.333333333333329,-27.000000000000004,10.0,10.0,0.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,-6.0,-7.0,-5.0,-5.0,-16.333333333333336,-28.333333333333336,3.0,-1.0,-2.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,-5.0,-5.0,-1.0,-3.0,-31.0,-49.33333333333333,10.0,10.0,-3.0
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,3.0,6.0,7.0,6.0,12.5,22.666666666666668,12.0,8.0,5.0
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,3.0,-1.0,3.0,2.0,-5.333333333333329,0.33333333333333215,-6.0,-6.0,-9.0
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,3.0,8.0,10.0,8.0,48.33333333333333,73.33333333333334,10.0,18.0,2.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,-8.0,-4.0,-4.0,-5.0,-27.333333333333336,-51.33333333333333,-3.0,-5.0,-6.0
79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,-2.0,-3.0,-1.0,-1.0,4.666666666666664,-4.0,9.0,3.0,0.0
74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,0.0,3.0,5.0,3.0,21.0,20.0,5.0,0.0,8.0
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,7.0,10.0,4.0,6.0,12.666666666666664,23.333333333333336,1.0,-3.0,3.0
79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,3.0,3.0,5.0,5.0,5.5,14.5,12.0,1.0,5.0
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,7.0,7.0,10.0,9.0,88.33333333333333,117.33333333333334,20.0,20.0,20.0
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,-2.0,0.0,-1.0,-1.0,-17.0,-30.666666666666664,7.0,-1.0,-4.0
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,7.0,-4.0,-1.0,-1.0,1.3333333333333357,0.6666666666666679,11.0,11.0,1.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,-1.0,1.0,-1.0,-1.0,-4.0,-6.5,3.0,-3.0,0.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,-5.0,-3.0,-3.0,-3.0,-26.0,-52.0,10.0,10.0,-3.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,14.0,3.0,0.0,3.0,3.0,3.666666666666668,10.0,10.0,3.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,0.0,0.0,1.0,-1.0,-42.0,-55.333333333333336,-10.0,-10.0,-15.0
78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,4.0,5.0,4.0,3.0,59.0,77.0,4.0,1.0,16.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,8.0,11.0,10.0,10.0,29.66666666666667,45.33333333333333,17.0,18.0,14.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,2.0,2.0,1.0,2.0,0.0,-1.0000000000000018,3.0,-1.0,0.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,-3.0,0.0,0.0,0.0,-4.0,-16.666666666666668,-1.0,-2.0,-3.0
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,0.0,-3.0,-1.0,-1.0,-1.0,4.0,-1.0,-3.0,3.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,0.0,2.0,2.0,1.0,-16.66666666666667,-27.333333333333332,10.0,10.0,0.0
79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,3.0,0.0,0.0,0.0,-13.333333333333336,-16.666666666666668,8.0,-6.0,3.0
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,1.0,4.0,5.0,4.0,9.666666666666664,12.666666666666666,10.0,5.0,4.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,-5.0,-3.0,-3.0,-4.0,-24.666666666666664,-47.666666666666664,-3.0,-5.0,-5.0
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,13.0,15.0,13.0,13.0,47.33333333333333,88.0,13.0,13.0,9.0
74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,-9.0,-11.0,-7.0,-9.0,-41.666666666666664,-70.0,-3.0,-9.0,-8.0
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,16.0,10.0,11.0,11.0,64.0,90.66666666666667,19.0,20.0,17.0
79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,3.0,3.0,5.0,5.0,5.5,14.5,12.0,1.0,5.0
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,5.0,5.0,9.0,7.0,48.33333333333333,58.333333333333336,11.0,19.0,2.0
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,-6.0,0.0,-5.0,-4.0,-26.333333333333336,-51.66666666666667,-3.0,-7.0,-6.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,6.0,8.0,8.0,9.0,68.66666666666667,92.33333333333333,20.0,20.0,20.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,-4.0,-1.0,-2.0,-3.0,-46.0,-58.0,-3.0,-3.0,-10.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,-5.0,-2.0,-2.0,-2.0,-17.66666666666667,-35.666666666666664,10.0,10.0,-3.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,-9.0,-7.0,-6.0,-7.0,-43.0,-65.16666666666666,-4.0,-10.0,-10.0
74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,-2.0,-1.0,-1.0,-2.0,-37.0,-51.666666666666664,-4.0,-10.0,-5.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,2.0,3.0,6.0,3.0,44.333333333333336,51.66666666666667,7.0,5.0,14.0
79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,5.0,0.0,2.0,2.0,0.0,1.666666666666666,8.0,-6.0,3.0
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,10.0,5.0,6.0,6.0,14.666666666666664,20.333333333333336,10.0,10.0,5.0
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,10.0,7.0,6.0,6.0,18.0,29.333333333333332,-1.0,-3.0,5.0
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,10.0,3.0,2.0,3.0,-7.333333333333336,-12.0,7.0,-1.0,-2.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,6.0,6.0,4.0,5.0,23.333333333333336,37.333333333333336,17.0,18.0,14.0
79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,1.0,1.0,3.0,3.0,2.6666666666666643,4.5,10.0,-2.0,4.0
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,-5.0,-10.0,-3.0,-5.0,-21.666666666666664,-27.0,-6.0,-6.0,-11.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,3.0,3.0,3.0,3.0,45.333333333333336,53.666666666666664,9.0,8.0,11.0
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,10.0,10.0,13.0,11.0,48.83333333333333,71.33333333333334,15.0,19.0,10.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,-2.0,2.0,0.0,1.0,2.3333333333333286,-3.666666666666668,6.0,5.0,4.0
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,13.0,15.0,13.0,13.0,47.33333333333333,88.0,13.0,13.0,9.0
78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,4.0,7.0,6.0,5.0,59.0,77.0,3.0,1.0,14.0
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,2.0,6.0,2.0,2.0,7.666666666666664,9.666666666666666,4.0,0.0,4.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,7.0,1.0,-3.0,0.0,-14.666666666666671,-28.333333333333336,3.0,-1.0,-2.0
78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,-5.0,-7.0,-6.0,-7.0,-3.6666666666666643,-13.0,-5.0,-8.0,-2.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,-10.0,-10.0,-6.0,-8.0,-61.0,-80.66666666666667,-10.0,-10.0,-17.0
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,-7.0,-7.0,-6.0,-6.0,-40.666666666666664,-65.66666666666667,-6.0,-6.0,-14.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,-7.0,-7.0,-6.0,-6.0,-39.666666666666664,-63.0,-1.0,-2.0,-9.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,1.0,4.0,2.0,3.0,-3.0,-10.666666666666668,10.0,10.0,0.0
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,2.0,6.0,6.0,5.0,13.0,21.666666666666668,14.0,7.0,9.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,5.0,3.0,6.0,5.0,9.333333333333336,14.0,10.0,10.0,2.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,8.0,10.0,7.0,7.0,10.333333333333329,17.666666666666664,10.0,10.0,5.0
79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,7.0,2.0,5.0,4.0,3.0,5.166666666666666,7.0,-8.0,0.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,-4.0,0.0,3.0,0.0,-5.0,-18.666666666666664,-3.0,-5.0,0.0
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,1.0,2.0,-2.0,0.0,-9.0,-14.666666666666666,-1.0,-3.0,1.0
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,7.0,7.0,10.0,9.0,88.33333333333333,117.33333333333334,20.0,20.0,20.0
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,3.0,8.0,10.0,8.0,48.33333333333333,73.33333333333334,10.0,18.0,2.0
79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,10.0,-1.0,-2.0,0.0,-14.666666666666671,-25.666666666666664,8.0,-6.0,1.0
