home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-13.0,-7.0,-4.0,-6.0,-24.666666666666664,-37.0,-16,-5.868421052631582,-0.9122807017543852,-1.149122807017544,-16,-13
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-14.0,-5.0,-3.0,-6.0,-19.666666666666664,-39.0,-13,-13.078947368421055,-2.6228070175438596,-1.2894736842105265,-15,-5
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,61.824561403508774,15.631578947368421,5.508771929824562,20,20,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,1.0,6.0,5.0,4.0,5.999999999999993,4.999999999999998,0,6.535087719298247,4.035087719298247,1.3771929824561404,0,0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,1.0,0.0,3.0,1.0,2.3333333333333357,0.16666666666666785,1,-3.2938596491228083,-1.4605263157894743,-0.2894736842105261,5,4
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,8.0,10.0,7.0,8.0,29.333333333333336,38.666666666666664,16,7.0877192982456165,2.3771929824561404,2.263157894736842,16,14
75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,-2.0,0.0,0.0,-1.0,-3.3333333333333357,-2.166666666666666,-3,1.30263157894737,0.6710526315789487,0.09649122807017552,-8,-1
79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,3.0,0.0,0.0,2.0,0.6666666666666643,8.833333333333332,10,4.741228070175438,2.9868421052631575,1.1052631578947372,-3,1
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,8.0,5.0,10.0,8.0,29.33333333333333,40.333333333333336,16,5.122807017543856,1.8245614035087723,0.6491228070175445,19,4
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,3.0,5.0,3.0,3.0,11.666666666666664,16.166666666666668,1,3.521929824561404,0.9605263157894726,0.3771929824561404,3,4
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,-3.0,-2.0,-2.0,-3.0,-9.666666666666664,-15.666666666666666,-13,-7.8596491228070136,-2.1228070175438596,-0.8859649122807021,-15,-3
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,-3.0,-4.0,-8.0,-5.0,-25.999999999999993,-33.0,0,-7.3859649122806985,-3.964912280701755,-1.7543859649122808,0,0
78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,-1.0,2.0,-2.0,-2.0,14.0,16.5,-13,11.539473684210527,0.8815789473684212,0.8157894736842097,-1,1
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,5.0,-2.0,0.0,1.0,8.666666666666671,16.666666666666668,13,7.201754385964911,-0.692982456140351,0.1491228070175441,17,6
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,0.0,3.0,4.0,3.0,9.333333333333336,12.333333333333334,2,10.096491228070171,1.1228070175438596,0.5614035087719302,16,-1
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,8.0,7.0,4.0,6.0,39.0,64.66666666666667,3,4.973684210526315,2.6578947368421044,1.403508771929825,7,10
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,-3.0,2.0,-1.0,0.0,0.0,-2.666666666666668,-5,9.175438596491226,1.4649122807017552,0.8421052631578951,5,-3
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,-3.0,-3.0,1.0,-1.0,-6.0,-17.333333333333332,11,-5.184210526315795,-1.4298245614035086,-0.6491228070175437,13,-3
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,-6.0,-5.0,-1.0,-4.0,-15.666666666666664,-33.0,-2,-13.043859649122808,-3.552631578947368,-1.5350877192982457,-2,-6
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,7.0,2.0,3.0,3.0,1.6666666666666643,6.333333333333334,0,-0.9385964912280684,0.8947368421052637,0.47368421052631593,0,-1
79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,0.0,-3.0,-4.0,-3.0,-9.333333333333336,-12.333333333333334,-2,-10.096491228070171,-1.1228070175438596,-0.5614035087719302,-16,1
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,45.1578947368421,11.631578947368421,4.254385964912281,9,15,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,4.0,3.0,5.0,4.0,10.0,17.166666666666668,11,0.5921052631578902,0.30263157894736814,0.6491228070175441,9,5
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,-9.0,-8.0,-6.0,-8.0,-24.333333333333336,-40.666666666666664,-13,-14.298245614035089,-4.087719298245615,-2.4035087719298245,-15,-6
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,66.16666666666667,17.640350877192983,6.5,19,20,72.0,74.0,73.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,12.0,12.0,13.0,12.0,88.33333333333333,132.33333333333334,19,66.16666666666667,17.640350877192983,6.5,19,20
74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,-3.0,-2.0,0.0,-2.0,-24.333333333333336,-33.666666666666664,-3,6.078947368421055,0.10526315789473806,-0.06140350877192979,-8,-1
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,14.0,4.0,6.0,6.0,19.333333333333336,38.333333333333336,7,6.1403508771929864,0.15789473684210442,0.12280701754385959,11,4
79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,1.0,-2.0,2.0,2.0,-14.0,-16.5,13,-11.539473684210527,-0.8815789473684212,-0.8157894736842097,1,-1
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,4.0,2.0,7.0,4.0,28.33333333333333,32.66666666666667,11,8.359649122807014,2.140350877192983,1.0350877192982457,13,0
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,-5.0,2.0,0.0,-1.0,-8.666666666666671,-16.666666666666668,-13,-7.201754385964911,0.692982456140351,-0.1491228070175441,-17,-6
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,9.0,7.0,9.0,8.0,24.000000000000007,40.0,7,7.359649122807021,1.6228070175438596,1.2368421052631575,11,5
72.0,74.0,73.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,-5.0,-2.0,-1.0,-3.0,-45.333333333333336,-53.666666666666664,-9,-43.26315789473684,-10.657894736842104,-3.508771929824561,-8,-11
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,1.0,0.0,4.0,3.0,-5.0,-9.666666666666666,16,-8.421052631578952,-1.7456140350877192,-1.0350877192982448,19,1
75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,-2.0,2.0,-2.0,-1.0,2.6666666666666643,-2.166666666666666,2,-3.9166666666666643,-0.25,0.14912280701754366,-4,4
74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,66.16666666666667,17.640350877192983,6.5,19,20,-10.0,-12.0,-12.0,-11.0,-67.33333333333333,-112.33333333333334,-13,-16.824561403508774,-6.87719298245614,-3.0526315789473686,-19,-10
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,-10.0,-7.0,-8.0,-8.0,-43.99999999999999,-65.66666666666667,-13,-21.403508771929822,-5.692982456140351,-2.5701754385964914,-15,-6
79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,0.0,-1.0,-2.0,-2.0,-0.3333333333333357,-5.5,1,-6.978070175438596,-1.9868421052631575,-0.7807017543859653,2,3
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,12.0,0.0,3.0,4.0,10.333333333333336,23.0,13,6.2631578947368425,0.20175438596491269,0.62280701754386,17,5
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,45.1578947368421,11.631578947368421,4.254385964912281,9,15,3.0,2.0,-1.0,1.0,8.0,16.0,-8,9.15789473684211,1.7894736842105257,0.5964912280701755,-2,5
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,45.1578947368421,11.631578947368421,4.254385964912281,9,15,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,0.0,4.0,4.0,3.0,7.333333333333336,13.666666666666666,-1,6.122807017543856,0.7631578947368425,0.6140350877192984,5,-3
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,72.0,74.0,73.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,11.0,5.0,4.0,6.0,62.333333333333336,84.33333333333333,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20
79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,4.0,0.0,3.0,3.0,3.0,9.0,11,1.44736842105263,1.5263157894736832,0.8157894736842111,2,5
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,1.0,-2.0,-1.0,0.0,-5.0,1.9999999999999982,-3,7.210526315789473,1.7105263157894743,0.14035087719298245,-1,-8
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,61.824561403508774,15.631578947368421,5.508771929824562,20,20,-7.0,-9.0,-8.0,-7.0,-22.999999999999993,-35.666666666666664,-11,-18.56140350877193,-4.973684210526317,-2.0000000000000004,-12,-9
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,12.0,9.0,11.0,10.0,67.33333333333333,97.33333333333334,14,13.333333333333329,4.798245614035087,2.4385964912280707,20,10
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,-3.0,-1.0,-5.0,-3.0,-9.333333333333336,-15.000000000000002,-7,-0.9210526315789451,0.3421052631578956,0.2807017543859649,-11,-2
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,66.16666666666667,17.640350877192983,6.5,19,20,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-6.0,5.0,6.0,3.0,24.33333333333333,41.66666666666667,-1,11.815789473684212,5.1491228070175445,1.8947368421052628,-1,1
78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,-7.0,-6.0,-8.0,-8.0,-9.666666666666671,-15.333333333333332,-16,1.9824561403508767,-0.219298245614036,-0.4824561403508776,-19,-4
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,-4.0,0.0,-1.0,-2.0,-6.333333333333336,-17.0,-2,-6.228070175438596,-1.1315789473684212,-0.8684210526315792,-4,-6
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,74.0,74.0,74.0,74.0,21.0,-49.0,6,49.3421052631579,10.763157894736842,3.4473684210526314,0,10,2.0,3.0,0.0,2.0,23.666666666666664,32.33333333333333,7,-1.1315789473684248,1.5701754385964914,1.0350877192982462,9,5
78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-12.0,-3.0,-5.0,-6.0,-5.0,-13.666666666666668,-16,3.201754385964911,1.2456140350877192,0.6315789473684204,-19,-3
72.0,74.0,73.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,-7.0,-1.0,-2.0,-3.0,-44.666666666666664,-55.0,-18,-39.03508771929825,-10.868421052631579,-3.6403508771929824,-4,-18
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,-2.0,-2.0,-1.0,-2.0,-5.666666666666664,-6.833333333333334,-13,2.469298245614034,-1.2763157894736832,-0.9649122807017547,2,-9
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,1.0,0.0,-3.0,0.0,1.0,1.9999999999999982,2,1.9912280701754383,0.7894736842105257,0.1929824561403506,3,-3
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,10.0,8.0,9.0,9.0,26.66666666666667,40.83333333333333,14,11.00438596491228,2.6271929824561404,2.1140350877192984,20,10
