Home,Away
 'Brighton & Hove Albion',  'Chelsea'
 'Brighton & Hove Albion',  'Tottenham Hotspur'
 'Burnley',  'Tottenham Hotspur'
 'Chelsea',  'Arsenal'
 'Brentford',  'Manchester United'
 'Burnley',  'Watford'
 'Leicester City',  'Tottenham Hotspur'
 'Manchester United',  'Brighton & Hove Albion'
 'Watford',  'Crystal Palace'
 'Aston Villa',  'Burnley'
 'Liverpool',  'Leeds United'
 'Wolverhampton Wanderers',  'Watford'
 'Burnley',  'Everton'
 'Arsenal',  'Liverpool'
 'Leeds United',  'Aston Villa'
 'Arsenal',  'Wolverhampton Wanderers'
 'Everton',  'Newcastle United'
 'Leicester City',  'Norwich City'
 'Southampton',  'Newcastle United'
 'Crystal Palace',  'Norwich City' 
 'Southampton',  'Tottenham Hotspur'
 'Watford',   'West Ham United'
 'Leicester City',  'Liverpool'
 'Chelsea',  'Brighton & Hove Albion'
 'Brentford',  'Manchester City'
 'Manchester United',  'Burnley'
 'Arsenal',  'Manchester City'
 'Watford',  'Tottenham Hotspur'
 'Crystal Palace',   'West Ham United'
 'Brentford',  'Aston Villa'
 'Everton',  'Brighton & Hove Albion'
 'Leeds United',  'Burnley'
 'Chelsea',  'Liverpool'
 'Manchester United',  'Wolverhampton Wanderers'
 'Southampton',  'Brentford'
 'Everton',  'Leicester City'
  'West Ham United',  'Norwich City'
 'Brighton & Hove Albion',  'Crystal Palace'
 'Manchester City',  'Chelsea'
 'Burnley',  'Leicester City'
 'Newcastle United',  'Watford'
 'Norwich City',  'Everton'
 'Wolverhampton Wanderers',  'Southampton'
 'Aston Villa',  'Manchester United'
 'Liverpool',  'Brentford'
  'West Ham United',  'Leeds United'
 'Tottenham Hotspur',  'Arsenal'
 'Watford',  'Norwich City'
 'Everton',  'Aston Villa'
 'Arsenal',  'Burnley'
 'Brentford',  'Wolverhampton Wanderers'
 'Leeds United',  'Newcastle United'
 'Manchester United',   'West Ham United'
 'Southampton',  'Manchester City'
 'Crystal Palace',  'Liverpool'
 'Leicester City',  'Brighton & Hove Albion'
 'Chelsea',  'Tottenham Hotspur'
 'Newcastle United',  'Everton' 
  'West Ham United',  'Watford' 
 'Burnley',  'Manchester United' 
 'Manchester City',  'Brentford'
 'Norwich City',  'Crystal Palace' 
 'Tottenham Hotspur',  'Southampton' 
 'Aston Villa',  'Leeds United' 
 'Liverpool',  'Leicester City' 
 'Wolverhampton Wanderers',  'Arsenal' 
 'Manchester United',  'Southampton' 
 'Brentford',  'Crystal Palace'
 'Everton',  'Leeds United'
 'Watford',  'Brighton & Hove Albion'
 'Norwich City',  'Manchester City'
 'Burnley',  'Liverpool'
 'Newcastle United',  'Aston Villa' 
 'Tottenham Hotspur',  'Wolverhampton Wanderers'
 'Leicester City',   'West Ham United' 
  'West Ham United',  'Newcastle United'
 'Arsenal',  'Brentford'
 'Aston Villa',  'Watford'
 'Brighton & Hove Albion',  'Burnley'
 'Crystal Palace',  'Chelsea'
 'Liverpool',  'Norwich City'
 'Southampton',  'Everton'
 'Manchester City',  'Tottenham Hotspur'
 'Leeds United',  'Manchester United' 
 'Wolverhampton Wanderers',  'Leicester City'
 'Southampton',  'Norwich City'
 'Leeds United',  'Tottenham Hotspur'
 'Brentford',  'Newcastle United'
 'Brighton & Hove Albion',  'Aston Villa'
 'Crystal Palace',  'Burnley'
 'Manchester United',  'Watford'
  'West Ham United',  'Wolverhampton Wanderers'
 'Everton',  'Manchester City'
 'Chelsea',  'Leicester City'
 'Aston Villa',  'Southampton'
 'Burnley',  'Chelsea'
 'Leicester City',  'Leeds United'
 'Liverpool',   'West Ham United'
 'Manchester City',  'Manchester United'
 'Newcastle United',  'Brighton & Hove Albion'
 'Norwich City',  'Brentford'
 'Tottenham Hotspur',  'Everton'
 'Watford',  'Arsenal'
 'Wolverhampton Wanderers',  'Crystal Palace'
 'Arsenal',  'Leicester City'
 'Brentford',  'Burnley'
 'Brighton & Hove Albion',  'Liverpool'
 'Chelsea',  'Newcastle United'
 'Crystal Palace',  'Manchester City'
 'Everton',  'Wolverhampton Wanderers'
 'Leeds United',  'Norwich City'
 'Manchester United',  'Tottenham Hotspur'
 'Southampton',  'Watford'
  'West Ham United',  'Aston Villa'
 'Aston Villa',  'Arsenal'
 'Burnley',  'Southampton'
 'Leicester City',  'Brentford'
 'Liverpool',  'Manchester United'
 'Manchester City',  'Brighton & Hove Albion'
 'Newcastle United',  'Crystal Palace'
 'Norwich City',  'Chelsea'
 'Tottenham Hotspur',   'West Ham United'
 'Watford',  'Everton'
 'Wolverhampton Wanderers',  'Leeds United'
 'Brighton & Hove Albion',  'Norwich City'
 'Burnley',  'Manchester City'
 'Chelsea',  'Brentford'
 'Crystal Palace',  'Arsenal'
 'Leeds United',  'Southampton'
 'Liverpool',  'Watford'
 'Manchester United',  'Leicester City'
 'Tottenham Hotspur',  'Newcastle United'
  'West Ham United',  'Everton'
 'Wolverhampton Wanderers',  'Aston Villa'
 'Arsenal',  'Brighton & Hove Albion'
 'Aston Villa',  'Tottenham Hotspur'
 'Brentford',   'West Ham United'
 'Everton',  'Manchester United'
 'Leicester City',  'Crystal Palace'
 'Manchester City',  'Liverpool'
 'Newcastle United',  'Wolverhampton Wanderers'
 'Norwich City',  'Burnley'
 'Southampton',  'Chelsea'
 'Watford',  'Leeds United'
 'Aston Villa',  'Liverpool'
 'Everton',  'Crystal Palace'
 'Leeds United',  'Chelsea'
 'Manchester United',  'Norwich City'
 'Newcastle United',  'Leicester City'
 'Southampton',  'Arsenal'
 'Tottenham Hotspur',  'Brighton & Hove Albion'
 'Watford',  'Brentford'
  'West Ham United',  'Burnley'
 'Wolverhampton Wanderers',  'Manchester City'
 'Arsenal',  'Manchester United'
 'Brentford',  'Tottenham Hotspur'
 'Brighton & Hove Albion',  'Southampton'
 'Burnley',  'Wolverhampton Wanderers'
 'Chelsea',   'West Ham United'
 'Crystal Palace',  'Leeds United'
 'Leicester City',  'Aston Villa'
 'Liverpool',  'Everton'
 'Manchester City',  'Watford'
 'Norwich City',  'Newcastle United'
 'Aston Villa',  'Norwich City'
 'Everton',  'Chelsea'
 'Leeds United',  'Manchester City'
 'Manchester United',  'Brentford'
 'Newcastle United',  'Liverpool'
 'Southampton',  'Crystal Palace'
 'Tottenham Hotspur',  'Leicester City'
 'Watford',  'Burnley'
  'West Ham United',  'Arsenal'
 'Wolverhampton Wanderers',  'Brighton & Hove Albion'
 'Arsenal',  'Leeds United'
 'Brentford',  'Southampton'
 'Brighton & Hove Albion',  'Manchester United'
 'Burnley',  'Aston Villa'
 'Chelsea',  'Wolverhampton Wanderers'
 'Crystal Palace',  'Watford'
 'Leicester City',  'Everton'
 'Liverpool',  'Tottenham Hotspur'
 'Manchester City',  'Newcastle United'
 'Norwich City',   'West Ham United'
 'Aston Villa',  'Crystal Palace'
 'Everton',  'Brentford'
 'Leeds United',  'Brighton & Hove Albion'
 'Manchester United',  'Chelsea'
 'Newcastle United',  'Arsenal'
 'Southampton',  'Liverpool'
 'Tottenham Hotspur',  'Burnley'
 'Watford',  'Leicester City'
  'West Ham United',  'Manchester City'
 'Wolverhampton Wanderers',  'Norwich City'
 'Arsenal',  'Everton'
 'Brentford',  'Leeds United'
 'Brighton & Hove Albion',   'West Ham United'
 'Burnley',  'Newcastle United'
 'Chelsea',  'Watford'
 'Crystal Palace',  'Manchester United'
 'Leicester City',  'Southampton'
 'Liverpool',  'Wolverhampton Wanderers'
 'Manchester City',  'Aston Villa'
 'Norwich City',  'Tottenham Hotspur'
